Frequency (Hz),Realised Gain (dB),Antenna Factor (dB),S11 (dB)
417714285.7,4.911407005,17.72617956,-10.81988555
418476190.5,4.7712152,17.88219987,-10.55998654
419238095.2,4.54471271,18.12450207,-10.290213
420000000,4.300306096,18.38467971,-10.01387756
420761904.8,4.124439413,18.57628884,-9.736950672
421523809.5,4.054835885,18.66160633,-9.468381996
422285714.3,4.069051106,18.66307669,-9.213562597
423047619,4.102089408,18.64569569,-8.976969969
423809523.8,4.167403396,18.59601084,-8.765026716
424571428.6,4.223349865,18.55566544,-8.547608194
425333333.3,4.242191001,18.55239739,-8.315507495
426095238.1,4.169186821,18.64094679,-8.064927543
426857142.9,4.013387071,18.81226399,-7.800706617
427619047.6,3.802918217,19.03822262,-7.537616774
428380952.4,3.557516165,19.29908688,-7.307438563
429142857.1,3.281330683,19.59070708,-7.133335944
429904761.9,2.962857598,19.92458752,-7.06074158
430666666.7,2.605263241,20.29756194,-7.223111942
431428571.4,2.243200687,20.67497737,-7.632078342
432190476.2,1.958105571,20.97539828,-8.317470585
432952381,1.847423286,21.10137936,-9.335071177
433714285.7,2.018508532,20.94556601,-10.63956459
434476190.5,2.4562885,20.52303114,-12.01670534
435238095.2,3.075877384,19.91866064,-13.39641278
